,time,temperature_2m,wind_speed_10m
0,2026-04-19T00:00,8.2,9.4
1,2026-04-19T01:00,8.0,7.2
2,2026-04-19T02:00,7.9,5.0
3,2026-04-19T03:00,8.1,4.0
4,2026-04-19T04:00,7.9,4.0
5,2026-04-19T05:00,7.9,3.6
6,2026-04-19T06:00,8.1,4.0
7,2026-04-19T07:00,8.5,4.0
8,2026-04-19T08:00,9.1,5.0
9,2026-04-19T09:00,9.5,2.5
10,2026-04-19T10:00,9.8,1.1
11,2026-04-19T11:00,9.7,2.5
12,2026-04-19T12:00,9.0,6.1
13,2026-04-19T13:00,8.7,7.2
14,2026-04-19T14:00,9.0,8.3
15,2026-04-19T15:00,8.9,11.2
16,2026-04-19T16:00,8.8,10.8
17,2026-04-19T17:00,8.8,7.9
18,2026-04-19T18:00,8.4,11.9
19,2026-04-19T19:00,8.3,12.2
20,2026-04-19T20:00,8.4,14.4
21,2026-04-19T21:00,8.0,13.3
22,2026-04-19T22:00,7.7,16.2
23,2026-04-19T23:00,7.3,17.3
24,2026-04-20T00:00,6.9,18.7
25,2026-04-20T01:00,6.5,19.4
26,2026-04-20T02:00,5.9,21.6
27,2026-04-20T03:00,5.5,23.4
28,2026-04-20T04:00,5.1,24.8
29,2026-04-20T05:00,5.0,25.2
30,2026-04-20T06:00,5.4,23.0
31,2026-04-20T07:00,6.3,22.0
32,2026-04-20T08:00,7.6,20.5
33,2026-04-20T09:00,9.2,19.4
34,2026-04-20T10:00,10.3,21.6
35,2026-04-20T11:00,10.9,21.2
36,2026-04-20T12:00,11.0,23.4
37,2026-04-20T13:00,11.2,22.3
38,2026-04-20T14:00,11.6,18.7
39,2026-04-20T15:00,11.6,16.9
40,2026-04-20T16:00,11.0,18.4
41,2026-04-20T17:00,10.5,16.9
42,2026-04-20T18:00,9.6,13.7
43,2026-04-20T19:00,8.6,11.2
44,2026-04-20T20:00,8.1,10.4
45,2026-04-20T21:00,7.6,10.4
46,2026-04-20T22:00,7.1,7.6
47,2026-04-20T23:00,6.7,7.6
48,2026-04-21T00:00,6.5,11.9
49,2026-04-21T01:00,6.3,13.3
50,2026-04-21T02:00,6.1,16.2
51,2026-04-21T03:00,5.8,15.8
52,2026-04-21T04:00,5.5,14.8
53,2026-04-21T05:00,5.6,14.0
54,2026-04-21T06:00,6.3,13.0
55,2026-04-21T07:00,7.3,11.5
56,2026-04-21T08:00,8.6,13.0
57,2026-04-21T09:00,10.1,14.0
58,2026-04-21T10:00,11.3,11.9
59,2026-04-21T11:00,12.3,10.8
60,2026-04-21T12:00,13.2,10.1
61,2026-04-21T13:00,14.0,7.9
62,2026-04-21T14:00,14.5,7.2
63,2026-04-21T15:00,14.7,11.5
64,2026-04-21T16:00,14.2,14.0
65,2026-04-21T17:00,13.2,14.4
66,2026-04-21T18:00,12.1,14.8
67,2026-04-21T19:00,11.0,14.4
68,2026-04-21T20:00,9.5,14.2
69,2026-04-21T21:00,8.2,14.2
70,2026-04-21T22:00,7.2,15.3
71,2026-04-21T23:00,6.4,16.9
72,2026-04-22T00:00,6.3,16.4
73,2026-04-22T01:00,6.1,15.7
74,2026-04-22T02:00,5.8,15.3
75,2026-04-22T03:00,5.8,15.7
76,2026-04-22T04:00,5.8,16.2
77,2026-04-22T05:00,6.2,17.2
78,2026-04-22T06:00,7.4,17.8
79,2026-04-22T07:00,9.1,16.6
80,2026-04-22T08:00,10.9,14.9
81,2026-04-22T09:00,12.3,14.7
82,2026-04-22T10:00,13.2,14.5
83,2026-04-22T11:00,13.8,14.5
84,2026-04-22T12:00,14.3,15.2
85,2026-04-22T13:00,14.6,15.8
86,2026-04-22T14:00,14.7,16.3
87,2026-04-22T15:00,14.5,16.9
88,2026-04-22T16:00,14.0,16.6
89,2026-04-22T17:00,13.4,14.5
90,2026-04-22T18:00,12.4,14.1
91,2026-04-22T19:00,11.4,13.1
92,2026-04-22T20:00,10.4,14.6
93,2026-04-22T21:00,9.5,15.8
94,2026-04-22T22:00,8.6,16.9
95,2026-04-22T23:00,7.8,15.8
96,2026-04-23T00:00,6.8,15.0
97,2026-04-23T01:00,6.0,13.5
98,2026-04-23T02:00,5.3,11.4
99,2026-04-23T03:00,5.0,10.0
100,2026-04-23T04:00,5.2,9.3
101,2026-04-23T05:00,5.6,8.8
102,2026-04-23T06:00,6.4,8.0
103,2026-04-23T07:00,7.7,6.7
104,2026-04-23T08:00,9.2,6.0
105,2026-04-23T09:00,10.5,5.9
106,2026-04-23T10:00,11.4,3.7
107,2026-04-23T11:00,12.1,2.6
108,2026-04-23T12:00,12.6,3.1
109,2026-04-23T13:00,12.9,1.9
110,2026-04-23T14:00,13.1,6.8
111,2026-04-23T15:00,12.8,11.1
112,2026-04-23T16:00,12.1,12.4
113,2026-04-23T17:00,10.9,12.5
114,2026-04-23T18:00,9.9,12.6
115,2026-04-23T19:00,8.9,12.1
116,2026-04-23T20:00,8.1,11.0
117,2026-04-23T21:00,7.4,10.1
118,2026-04-23T22:00,7.1,9.9
119,2026-04-23T23:00,6.8,10.3
120,2026-04-24T00:00,6.5,11.0
121,2026-04-24T01:00,5.9,12.3
122,2026-04-24T02:00,5.3,13.7
123,2026-04-24T03:00,5.1,14.2
124,2026-04-24T04:00,5.4,13.5
125,2026-04-24T05:00,6.0,12.1
126,2026-04-24T06:00,6.8,10.4
127,2026-04-24T07:00,7.8,8.9
128,2026-04-24T08:00,9.1,8.7
129,2026-04-24T09:00,10.1,10.1
130,2026-04-24T10:00,10.9,11.3
131,2026-04-24T11:00,11.6,12.5
132,2026-04-24T12:00,12.1,13.4
133,2026-04-24T13:00,12.6,13.2
134,2026-04-24T14:00,12.9,12.7
135,2026-04-24T15:00,13.1,13.2
136,2026-04-24T16:00,13.1,15.2
137,2026-04-24T17:00,13.1,18.0
138,2026-04-24T18:00,12.6,20.2
139,2026-04-24T19:00,11.4,21.4
140,2026-04-24T20:00,9.9,21.9
141,2026-04-24T21:00,8.6,22.0
142,2026-04-24T22:00,7.6,21.1
143,2026-04-24T23:00,6.9,19.8
144,2026-04-25T00:00,6.3,19.1
145,2026-04-25T01:00,5.8,19.0
146,2026-04-25T02:00,5.5,19.2
147,2026-04-25T03:00,5.4,19.9
148,2026-04-25T04:00,5.7,21.6
149,2026-04-25T05:00,6.3,24.0
150,2026-04-25T06:00,6.7,25.7
151,2026-04-25T07:00,4.8,29.1
152,2026-04-25T08:00,5.5,27.9
153,2026-04-25T09:00,6.3,26.5
154,2026-04-25T10:00,7.1,25.6
155,2026-04-25T11:00,7.7,25.0
156,2026-04-25T12:00,7.9,24.7
157,2026-04-25T13:00,7.7,24.4
158,2026-04-25T14:00,7.2,24.0
159,2026-04-25T15:00,6.4,23.2
160,2026-04-25T16:00,5.7,22.6
161,2026-04-25T17:00,4.9,22.1
162,2026-04-25T18:00,4.5,21.7
163,2026-04-25T19:00,4.2,21.3
164,2026-04-25T20:00,4.2,21.0
165,2026-04-25T21:00,4.1,20.8
166,2026-04-25T22:00,4.2,20.5
167,2026-04-25T23:00,4.2,20.2
